class_id,class_name,precision,recall,f1_score,support
0,Apple___Apple_scab,0.7586206896551724,0.23157894736842105,0.3548387096774193,95
1,Apple___Black_rot,0.6,0.19148936170212766,0.29032258064516125,94
2,Apple___Cedar_apple_rust,0.0,0.0,0.0,42
3,Apple___healthy,0.593103448275862,0.6935483870967742,0.6394052044609665,248
4,Blueberry___healthy,0.4731182795698925,0.9734513274336283,0.6367583212735167,226
5,Cherry_(including_sour)___Powdery_mildew,0.6282051282051282,0.3081761006289308,0.41350210970464135,159
6,Cherry_(including_sour)___healthy,0.6341463414634146,0.8062015503875969,0.7098976109215017,129
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.36,0.11538461538461539,0.17475728155339804,78
8,Corn_(maize)___Common_rust_,0.8411214953271028,1.0,0.9137055837563453,180
9,Corn_(maize)___Northern_Leaf_Blight,0.427536231884058,0.7919463087248322,0.5552941176470587,149
10,Corn_(maize)___healthy,0.9829545454545454,0.9885714285714285,0.9857549857549858,175
11,Grape___Black_rot,0.6867469879518072,0.3220338983050847,0.43846153846153846,177
12,Grape___Esca_(Black_Measles),0.5582191780821918,0.7836538461538461,0.652,208
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.6781609195402298,0.7283950617283951,0.7023809523809522,162
14,Grape___healthy,0.0,0.0,0.0,64
15,Orange___Haunglongbing_(Citrus_greening),0.935361216730038,0.8923821039903265,0.9133663366336634,827
16,Peach___Bacterial_spot,0.6860068259385665,0.5809248554913294,0.6291079812206571,346
17,Peach___healthy,0.5285714285714286,0.6727272727272727,0.5920000000000001,55
18,"Pepper,_bell___Bacterial_spot",0.6181818181818182,0.2251655629139073,0.3300970873786408,151
19,"Pepper,_bell___healthy",0.4424778761061947,0.672645739910314,0.5338078291814947,223
20,Potato___Early_blight,0.4142857142857143,0.9666666666666667,0.5800000000000001,150
21,Potato___Late_blight,0.609375,0.26,0.36448598130841126,150
22,Potato___healthy,0.0,0.0,0.0,24
23,Raspberry___healthy,0.2,0.03508771929824561,0.05970149253731343,57
24,Soybean___healthy,0.686829268292683,0.9214659685863874,0.7870318613750699,764
25,Squash___Powdery_mildew,0.7283018867924528,0.6992753623188406,0.7134935304990759,276
26,Strawberry___Leaf_scorch,0.5521472392638037,0.5389221556886228,0.5454545454545455,167
27,Strawberry___healthy,0.5952380952380952,0.36231884057971014,0.4504504504504505,69
28,Tomato___Bacterial_spot,0.6935483870967742,0.671875,0.6825396825396826,320
29,Tomato___Early_blight,1.0,0.02,0.0392156862745098,150
30,Tomato___Late_blight,0.5116279069767442,0.30662020905923343,0.38344226579520696,287
31,Tomato___Leaf_Mold,0.47368421052631576,0.3125,0.37656903765690375,144
32,Tomato___Septoria_leaf_spot,0.5185185185185185,0.36704119850187267,0.4298245614035088,267
33,Tomato___Spider_mites Two-spotted_spider_mite,0.5486111111111112,0.626984126984127,0.5851851851851853,252
34,Tomato___Target_Spot,0.6511627906976745,0.5283018867924528,0.5833333333333333,212
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.8254335260115607,0.8869565217391304,0.8550898203592815,805
36,Tomato___Tomato_mosaic_virus,0.43902439024390244,0.3157894736842105,0.36734693877551017,57
37,Tomato___healthy,0.7491166077738516,0.8833333333333333,0.8107074569789675,240
